ImeReditelja,ukupnaZarada
Olivier Dahan,10301706.0
Ronny Yu,24633730.0
Neil Burger,39868642.0
Zack Snyder,318124738.0
James Wan,56000369.0
Charlie Kaufman,3081925.0
Gregg Araki,697181.0
Yann Samuell,548707.0
Jean-Pierre Jeunet,6167817.0
Marc Forster,51680613.0
Eric Bress,57938693.0
Danny Boyle,45064915.0
Kinji Fukasaku,68034750.87
Chris Columbus,603336793.0
Ted Demme,52990775.0
Mary Harron,15070285.0
Tom Tykwer,7267585.0
Tony Bancroft,120620254.0
Alex Proyas,14378331.0
Barry Levinson,49100000.0
Joel Schumacher,40903593.0
Jonathan Lynn,52929168.0
Isao Takahata,453243.0
Marc Caro,1794187.0
David Zucker,78756177.0
Mark Rydell,119285432.0
George Miller,12465371.0
Walter Hill,22490039.0
James Frawley,76657000.0
Martin Rosen,68034750.87
Sergio Leone,696690.0
Wolfgang Reitherman,141843612.0
Richard Lester,13780024.0
Blake Edwards,68034750.87
George Stevens,68034750.87
